epoch,train_loss,train_acc,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,val_loss,val_acc,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,lr,seconds
1,1.1235040082746737,0.7128471890808438,0.7115556996565715,0.7174069195136075,0.7130934053814076,0.7125963389592455,0.7128471890808438,0.7111658847054952,0.8554209882359353,0.8532006333408731,0.8443545260183534,0.8587355436738175,0.8503152870422228,0.8554140095651248,0.8532006333408731,0.8528648021932754,0.0001,504.65
2,0.8160279399112764,0.8550634723680443,0.8548587648484596,0.8588113781123335,0.8564516315285264,0.8549877152383691,0.8550634723680443,0.8545677645086744,0.797477717240238,0.8826057453064917,0.8823947135995263,0.8805396816077931,0.8811132392433354,0.8828930364981753,0.8826057453064917,0.8824194159059651,0.0001,731.07
3,0.7324609866724381,0.8977283573542044,0.8976351750644451,0.9007769832078749,0.8989987170483744,0.8976279212275025,0.8977283573542044,0.8974269319099998,0.785407388474547,0.8891653472065144,0.8869834417041004,0.8882658154812085,0.8874936679862657,0.8890419248088353,0.8891653472065144,0.8889867394542449,0.0001,508.46
4,0.6813024899722215,0.9239286055168464,0.9240897412023832,0.9269426462072958,0.9253550909875253,0.9238068350117781,0.9239286055168464,0.9236721722099549,0.781830096724777,0.8950463695996381,0.8927398876564716,0.8964389870039944,0.8940847586844685,0.8962429877472662,0.8950463695996381,0.8948266801922691,0.0001,211.69
5,0.6462832498473043,0.939677388565429,0.9398461361579077,0.942185929357267,0.9409046358502609,0.9396645757247905,0.939677388565429,0.9395349540929409,0.7750722403724224,0.8943677900927391,0.8888738779889372,0.8892212400117014,0.8883351828478205,0.8953676738892169,0.8943677900927391,0.8941016227227918,0.0001,234.35
6,0.6204253974290389,0.9507015366994369,0.9509210532553696,0.9528520845396642,0.9518171168306007,0.9506261842658867,0.9507015366994369,0.9505790201810307,0.7647822025646804,0.8961773354444695,0.8964115763790848,0.8932771026437057,0.8941916950097923,0.8967994409684941,0.8961773354444695,0.8960513552123032,0.0001,219.73
7,0.6018763145463344,0.9586236518087239,0.9589745577015459,0.9599644180660105,0.9594455001225899,0.958567980040321,0.9586236518087239,0.9585683036656455,0.7589636379117691,0.8945939832617055,0.887498209514318,0.8955443507210878,0.8907784881602606,0.8960381827912275,0.8945939832617055,0.8946004791105712,0.0001,224.95
8,0.5845304699165739,0.9659730838980625,0.966046596135449,0.9674296467863347,0.9667017177535306,0.9659620590947834,0.9659730838980625,0.9659229182839365,0.7553704325577383,0.9022845510065596,0.9016771899123907,0.8969735960538411,0.8988570872019588,0.902661967120058,0.9022845510065596,0.9020516613656006,0.0001,224.95
9,0.5729413332915937,0.9706499952276415,0.9708358522391058,0.9718048639258831,0.9712998384280382,0.9706294381487796,0.9706499952276415,0.970615435636547,0.770432266733868,0.8959511422755033,0.8960630367836078,0.8837912836031763,0.8889009094359802,0.8970810485727179,0.8959511422755033,0.8958899567365315,0.0001,228.2
10,0.5632356566031994,0.9738474754223537,0.9739404790028914,0.9749753329473074,0.974435916579084,0.9738461463389578,0.9738474754223537,0.9738202631493879,0.7595588550312005,0.8988916534720651,0.8938883273333746,0.8926066303016043,0.8928384367807928,0.8994217044898368,0.8988916534720651,0.8988226985459594,0.0001,226.97
11,0.5554885336139155,0.9781903216569628,0.9782404170430042,0.9791524609148813,0.9786780169362346,0.9781957485890006,0.9781903216569628,0.9781710976820633,0.7561044019828741,0.8970821081203347,0.8996341574176648,0.8878405903049766,0.8935318718967982,0.897201016438962,0.8970821081203347,0.8969769992975104,0.0001,212.26
